[COMPLETE] ● https://lmo.wikipedia.org                                                                            | ✓ | ⏱: 1.18s
[COMPLETE] ● https://mk.wikipedia.org                                                                             | ✓ | ⏱: 1.71s
[FETCH]... ↓ https://mrj.wikipedia.org                                                                            | ✓ | ⏱: 1.59s 
[SCRAPE].. ◆ https://mrj.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mrj.wikipedia.org                                                                            | ✓ | ⏱: 1.59s
[FETCH]... ↓ https://mt.wikipedia.org                                                                             | ✓ | ⏱: 1.61s 
[SCRAPE].. ◆ https://mt.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mt.wikipedia.org                                                                             | ✓ | ⏱: 1.61s
[FETCH]... ↓ https://mnw.wikipedia.org                                                                            | ✓ | ⏱: 1.70s 
[SCRAPE].. ◆ https://mnw.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mnw.wikipedia.org                                                                            | ✓ | ⏱: 1.71s
[FETCH]... ↓ https://mn.wikipedia.org                                                                             | ✓ | ⏱: 1.74s
[SCRAPE].. ◆ https://mn.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mn.wikipedia.org                                                                             | ✓ | ⏱: 1.75s
[FETCH]... ↓ https://mos.wikipedia.org                                                                            | ✓ | ⏱: 1.71s
[SCRAPE].. ◆ https://mos.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mos.wikipedia.org                                                                            | ✓ | ⏱: 1.72s
[FETCH]... ↓ https://mzn.wikipedia.org                                                                            | ✓ | ⏱: 0.79s
[SCRAPE].. ◆ https://mzn.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://mzn.wikipedia.org                                                                            | ✓ | ⏱: 0.80s
[FETCH]... ↓ https://mwl.wikipedia.org                                                                            | ✓ | ⏱: 1.50s 
[SCRAPE].. ◆ https://mwl.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://mwl.wikipedia.org                                                                            | ✓ | ⏱: 1.51s
[FETCH]... ↓ https://mni.wikipedia.org                                                                            | ✓ | ⏱: 1.77s 
[SCRAPE].. ◆ https://mni.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://mni.wikipedia.org                                                                            | ✓ | ⏱: 1.77s
[FETCH]... ↓ https://my.wikipedia.org                                                                             | ✓ | ⏱: 1.44s 
[SCRAPE].. ◆ https://my.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://my.wikipedia.org                                                                             | ✓ | ⏱: 1.45s
[FETCH]... ↓ https://nah.wikipedia.org                                                                            | ✓ | ⏱: 1.12s 
[SCRAPE].. ◆ https://nah.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://nah.wikipedia.org                                                                            | ✓ | ⏱: 1.12s
[FETCH]... ↓ https://mr.wikipedia.org                                                                             | ✓ | ⏱: 2.19s 
[SCRAPE].. ◆ https://mr.wikipedia.org                                                                             | ✓ | ⏱: 0.23s 
[COMPLETE] ● https://mr.wikipedia.org                                                                             | ✓ | ⏱: 2.43s 
[FETCH]... ↓ https://ms.wikipedia.org                                                                             | ✓ | ⏱: 2.42s 
[SCRAPE].. ◆ https://ms.wikipedia.org                                                                             | ✓ | ⏱: 0.22s 
[COMPLETE] ● https://ms.wikipedia.org                                                                             | ✓ | ⏱: 2.64s 
[FETCH]... ↓ https://myv.wikipedia.org                                                                            | ✓ | ⏱: 2.19s 
[SCRAPE].. ◆ https://myv.wikipedia.org                                                                            | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://myv.wikipedia.org                                                                            | ✓ | ⏱: 2.33s 
[FETCH]... ↓ https://nl.wikipedia.org                                                                             | ✓ | ⏱: 1.68s 
[SCRAPE].. ◆ https://nl.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://nl.wikipedia.org                                                                             | ✓ | ⏱: 1.69s
[FETCH]... ↓ https://nia.wikipedia.org                                                                            | ✓ | ⏱: 1.75s
[SCRAPE].. ◆ https://nia.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://nia.wikipedia.org                                                                            | ✓ | ⏱: 1.75s
[FETCH]... ↓ https://nrm.wikipedia.org                                                                            | ✓ | ⏱: 1.40s
[SCRAPE].. ◆ https://nrm.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://nrm.wikipedia.org                                                                            | ✓ | ⏱: 1.41s
[FETCH]... ↓ https://nds-nl.wikipedia.org                                                                         | ✓ | ⏱: 1.97s 
[SCRAPE].. ◆ https://nds-nl.wikipedia.org                                                                         | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://nds-nl.wikipedia.org                                                                         | ✓ | ⏱: 1.98s
[FETCH]... ↓ https://nds.wikipedia.org                                                                            | ✓ | ⏱: 1.97s
[SCRAPE].. ◆ https://nds.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://nds.wikipedia.org                                                                            | ✓ | ⏱: 1.98s
[FETCH]... ↓ https://nso.wikipedia.org                                                                            | ✓ | ⏱: 1.44s 
[SCRAPE].. ◆ https://nso.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://nso.wikipedia.org                                                                            | ✓ | ⏱: 1.45s
[FETCH]... ↓ https://ne.wikipedia.org                                                                             | ✓ | ⏱: 1.94s
[SCRAPE].. ◆ https://ne.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://ne.wikipedia.org                                                                             | ✓ | ⏱: 1.95s
[FETCH]... ↓ https://nov.wikipedia.org                                                                            | ✓ | ⏱: 1.50s
[SCRAPE].. ◆ https://nov.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://nov.wikipedia.org                                                                            | ✓ | ⏱: 1.50s 
[FETCH]... ↓ https://nv.wikipedia.org                                                                             | ✓ | ⏱: 1.47s
[SCRAPE].. ◆ https://nv.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://nv.wikipedia.org                                                                             | ✓ | ⏱: 1.47s
[FETCH]... ↓ https://ny.wikipedia.org                                                                             | ✓ | ⏱: 1.47s 
[SCRAPE].. ◆ https://ny.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://ny.wikipedia.org                                                                             | ✓ | ⏱: 1.48s
[FETCH]... ↓ https://nqo.wikipedia.org                                                                            | ✓ | ⏱: 1.52s 
[SCRAPE].. ◆ https://nqo.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://nqo.wikipedia.org                                                                            | ✓ | ⏱: 1.53s
[FETCH]... ↓ https://new.wikipedia.org                                                                            | ✓ | ⏱: 2.01s 
[SCRAPE].. ◆ https://new.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://new.wikipedia.org                                                                            | ✓ | ⏱: 2.02s
[FETCH]... ↓ https://oc.wikipedia.org                                                                             | ✓ | ⏱: 1.39s 
[SCRAPE].. ◆ https://oc.wikipedia.org                                                                             | ✓ | ⏱: 0.12s 
[COMPLETE] ● https://oc.wikipedia.org                                                                             | ✓ | ⏱: 1.51s 
[FETCH]... ↓ https://nn.wikipedia.org                                                                             | ✓ | ⏱: 1.85s
[SCRAPE].. ◆ https://nn.wikipedia.org                                                                             | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://nn.wikipedia.org                                                                             | ✓ | ⏱: 1.98s 
[FETCH]... ↓ https://nap.wikipedia.org                                                                            | ✓ | ⏱: 2.54s
[SCRAPE].. ◆ https://nap.wikipedia.org                                                                            | ✓ | ⏱: 0.12s 
[COMPLETE] ● https://nap.wikipedia.org                                                                            | ✓ | ⏱: 2.67s 
[FETCH]... ↓ https://olo.wikipedia.org                                                                            | ✓ | ⏱: 1.73s 
[SCRAPE].. ◆ https://olo.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://olo.wikipedia.org                                                                            | ✓ | ⏱: 1.74s
[FETCH]... ↓ https://or.wikipedia.org                                                                             | ✓ | ⏱: 1.28s 
[SCRAPE].. ◆ https://or.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://or.wikipedia.org                                                                             | ✓ | ⏱: 1.28s
[FETCH]... ↓ https://no.wikipedia.org                                                                             | ✓ | ⏱: 2.31s 
[SCRAPE].. ◆ https://no.wikipedia.org                                                                             | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://no.wikipedia.org                                                                             | ✓ | ⏱: 2.45s 
[FETCH]... ↓ https://os.wikipedia.org                                                                             | ✓ | ⏱: 1.23s
[SCRAPE].. ◆ https://os.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://os.wikipedia.org                                                                             | ✓ | ⏱: 1.23s
[FETCH]... ↓ https://om.wikipedia.org                                                                             | ✓ | ⏱: 1.68s 
[SCRAPE].. ◆ https://om.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://om.wikipedia.org                                                                             | ✓ | ⏱: 1.68s
[FETCH]... ↓ https://pa.wikipedia.org                                                                             | ✓ | ⏱: 1.43s 
[SCRAPE].. ◆ https://pa.wikipedia.org                                                                             | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://pa.wikipedia.org                                                                             | ✓ | ⏱: 1.56s 
[FETCH]... ↓ https://pap.wikipedia.org                                                                            | ✓ | ⏱: 1.71s 
[SCRAPE].. ◆ https://pap.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://pap.wikipedia.org                                                                            | ✓ | ⏱: 1.71s
[FETCH]... ↓ https://pms.wikipedia.org                                                                            | ✓ | ⏱: 2.03s 
[SCRAPE].. ◆ https://pms.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://pms.wikipedia.org                                                                            | ✓ | ⏱: 2.04s
[FETCH]... ↓ https://qu.wikipedia.org                                                                             | ✓ | ⏱: 1.62s 
[SCRAPE].. ◆ https://qu.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://qu.wikipedia.org                                                                             | ✓ | ⏱: 1.62s
[FETCH]... ↓ https://pdc.wikipedia.org                                                                            | ✓ | ⏱: 2.15s
[SCRAPE].. ◆ https://pdc.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://pdc.wikipedia.org                                                                            | ✓ | ⏱: 2.16s
[FETCH]... ↓ https://pfl.wikipedia.org                                                                            | ✓ | ⏱: 2.16s
[SCRAPE].. ◆ https://pfl.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://pfl.wikipedia.org                                                                            | ✓ | ⏱: 2.16s 
[FETCH]... ↓ https://pcm.wikipedia.org                                                                            | ✓ | ⏱: 2.21s 
[SCRAPE].. ◆ https://pcm.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://pcm.wikipedia.org                                                                            | ✓ | ⏱: 2.21s
[FETCH]... ↓ https://pag.wikipedia.org                                                                            | ✓ | ⏱: 2.28s 
[SCRAPE].. ◆ https://pag.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://pag.wikipedia.org                                                                            | ✓ | ⏱: 2.28s 
[FETCH]... ↓ https://ps.wikipedia.org                                                                             | ✓ | ⏱: 1.95s
[SCRAPE].. ◆ https://ps.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://ps.wikipedia.org                                                                             | ✓ | ⏱: 1.96s
[FETCH]... ↓ https://pcd.wikipedia.org                                                                            | ✓ | ⏱: 2.25s 
[SCRAPE].. ◆ https://pcd.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://pcd.wikipedia.org                                                                            | ✓ | ⏱: 2.26s
[FETCH]... ↓ https://pnb.wikipedia.org                                                                            | ✓ | ⏱: 2.15s 
[SCRAPE].. ◆ https://pnb.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://pnb.wikipedia.org                                                                            | ✓ | ⏱: 2.16s
[FETCH]... ↓ https://pi.wikipedia.org                                                                             | ✓ | ⏱: 2.30s 
[SCRAPE].. ◆ https://pi.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://pi.wikipedia.org                                                                             | ✓ | ⏱: 2.30s
[FETCH]... ↓ https://rm.wikipedia.org                                                                             | ✓ | ⏱: 1.60s
[SCRAPE].. ◆ https://rm.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://rm.wikipedia.org                                                                             | ✓ | ⏱: 1.61s
[FETCH]... ↓ https://pl.wikipedia.org                                                                             | ✓ | ⏱: 2.38s 
[SCRAPE].. ◆ https://pl.wikipedia.org                                                                             | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://pl.wikipedia.org                                                                             | ✓ | ⏱: 2.46s 
[FETCH]... ↓ https://roa-tara.wikipedia.org                                                                       | ✓ | ⏱: 1.78s 
[SCRAPE].. ◆ https://roa-tara.wikipedia.org                                                                       | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://roa-tara.wikipedia.org                                                                       | ✓ | ⏱: 1.78s
[FETCH]... ↓ https://ru.wikipedia.org                                                                             | ✓ | ⏱: 1.78s
[SCRAPE].. ◆ https://ru.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://ru.wikipedia.org                                                                             | ✓ | ⏱: 1.79s
[FETCH]... ↓ https://ro.wikipedia.org                                                                             | ✓ | ⏱: 1.96s 
[SCRAPE].. ◆ https://ro.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://ro.wikipedia.org                                                                             | ✓ | ⏱: 1.96s
[FETCH]... ↓ https://roa-rup.wikipedia.org                                                                        | ✓ | ⏱: 1.90s 
[SCRAPE].. ◆ https://roa-rup.wikipedia.org                                                                        | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://roa-rup.wikipedia.org                                                                        | ✓ | ⏱: 1.90s
[FETCH]... ↓ https://pam.wikipedia.org                                                                            | ✓ | ⏱: 2.88s 
[SCRAPE].. ◆ https://pam.wikipedia.org                                                                            | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://pam.wikipedia.org                                                                            | ✓ | ⏱: 2.96s 
[FETCH]... ↓ https://pt.wikipedia.org                                                                             | ✓ | ⏱: 2.50s
[SCRAPE].. ◆ https://pt.wikipedia.org                                                                             | ✓ | ⏱: 0.17s 
[COMPLETE] ● https://pt.wikipedia.org                                                                             | ✓ | ⏱: 2.68s 
[FETCH]... ↓ https://sa.wikipedia.org                                                                             | ✓ | ⏱: 0.99s
[SCRAPE].. ◆ https://sa.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://sa.wikipedia.org                                                                             | ✓ | ⏱: 0.99s
[FETCH]... ↓ https://rue.wikipedia.org                                                                            | ✓ | ⏱: 1.80s 
[SCRAPE].. ◆ https://rue.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://rue.wikipedia.org                                                                            | ✓ | ⏱: 1.81s
[FETCH]... ↓ https://si.wikipedia.org                                                                             | ✓ | ⏱: 0.87s 
[SCRAPE].. ◆ https://si.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://si.wikipedia.org                                                                             | ✓ | ⏱: 0.88s
[FETCH]... ↓ https://shi.wikipedia.org                                                                            | ✓ | ⏱: 1.06s
[SCRAPE].. ◆ https://shi.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://shi.wikipedia.org                                                                            | ✓ | ⏱: 1.06s
[FETCH]... ↓ https://sc.wikipedia.org                                                                             | ✓ | ⏱: 1.22s 
[SCRAPE].. ◆ https://sc.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://sc.wikipedia.org                                                                             | ✓ | ⏱: 1.23s
[FETCH]... ↓ https://sat.wikipedia.org                                                                            | ✓ | ⏱: 1.25s
[SCRAPE].. ◆ https://sat.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://sat.wikipedia.org                                                                            | ✓ | ⏱: 1.25s
[FETCH]... ↓ https://rw.wikipedia.org                                                                             | ✓ | ⏱: 1.79s 
[SCRAPE].. ◆ https://rw.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://rw.wikipedia.org                                                                             | ✓ | ⏱: 1.80s
[FETCH]... ↓ https://scn.wikipedia.org                                                                            | ✓ | ⏱: 1.31s 
[SCRAPE].. ◆ https://scn.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://scn.wikipedia.org                                                                            | ✓ | ⏱: 1.31s
[FETCH]... ↓ https://sd.wikipedia.org                                                                             | ✓ | ⏱: 1.32s 
[SCRAPE].. ◆ https://sd.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://sd.wikipedia.org                                                                             | ✓ | ⏱: 1.33s
[FETCH]... ↓ https://sah.wikipedia.org                                                                            | ✓ | ⏱: 1.41s
[SCRAPE].. ◆ https://sah.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://sah.wikipedia.org                                                                            | ✓ | ⏱: 1.41s
[FETCH]... ↓ https://sk.wikipedia.org                                                                             | ✓ | ⏱: 0.85s 
[SCRAPE].. ◆ https://sk.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://sk.wikipedia.org                                                                             | ✓ | ⏱: 0.85s
[FETCH]... ↓ https://shn.wikipedia.org                                                                            | ✓ | ⏱: 1.24s
[SCRAPE].. ◆ https://shn.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://shn.wikipedia.org                                                                            | ✓ | ⏱: 1.25s 
[FETCH]... ↓ https://sco.wikipedia.org                                                                            | ✓ | ⏱: 1.37s
[SCRAPE].. ◆ https://sco.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://sco.wikipedia.org                                                                            | ✓ | ⏱: 1.38s 
[FETCH]... ↓ https://se.wikipedia.org                                                                             | ✓ | ⏱: 1.62s 
[SCRAPE].. ◆ https://se.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://se.wikipedia.org                                                                             | ✓ | ⏱: 1.63s 
[FETCH]... ↓ https://skr.wikipedia.org                                                                            | ✓ | ⏱: 1.43s 
[SCRAPE].. ◆ https://skr.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://skr.wikipedia.org                                                                            | ✓ | ⏱: 1.43s
[FETCH]... ↓ https://sl.wikipedia.org                                                                             | ✓ | ⏱: 1.40s 
[SCRAPE].. ◆ https://sl.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://sl.wikipedia.org                                                                             | ✓ | ⏱: 1.41s
[FETCH]... ↓ https://sm.wikipedia.org                                                                             | ✓ | ⏱: 1.33s 
[SCRAPE].. ◆ https://sm.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://sm.wikipedia.org                                                                             | ✓ | ⏱: 1.33s
[FETCH]... ↓ https://sn.wikipedia.org                                                                             | ✓ | ⏱: 1.15s 
[SCRAPE].. ◆ https://sn.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://sn.wikipedia.org                                                                             | ✓ | ⏱: 1.16s
[FETCH]... ↓ https://so.wikipedia.org                                                                             | ✓ | ⏱: 1.02s 
[SCRAPE].. ◆ https://so.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://so.wikipedia.org                                                                             | ✓ | ⏱: 1.02s
[FETCH]... ↓ https://sh.wikipedia.org                                                                             | ✓ | ⏱: 2.05s
[SCRAPE].. ◆ https://sh.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://sh.wikipedia.org                                                                             | ✓ | ⏱: 2.06s
[FETCH]... ↓ https://smn.wikipedia.org                                                                            | ✓ | ⏱: 1.25s
[SCRAPE].. ◆ https://smn.wikipedia.org                                                                            | ✓ | ⏱: 0.16s 
[COMPLETE] ● https://smn.wikipedia.org                                                                            | ✓ | ⏱: 1.41s 
[FETCH]... ↓ https://simple.wikipedia.org                                                                         | ✓ | ⏱: 1.81s 
[SCRAPE].. ◆ https://simple.wikipedia.org                                                                         | ✓ | ⏱: 0.10s 
[COMPLETE] ● https://simple.wikipedia.org                                                                         | ✓ | ⏱: 1.91s 
[FETCH]... ↓ https://su.wikipedia.org                                                                             | ✓ | ⏱: 1.06s
[SCRAPE].. ◆ https://su.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://su.wikipedia.org                                                                             | ✓ | ⏱: 1.06s 
[FETCH]... ↓ https://sw.wikipedia.org                                                                             | ✓ | ⏱: 1.05s
[SCRAPE].. ◆ https://sw.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://sw.wikipedia.org                                                                             | ✓ | ⏱: 1.06s 
[FETCH]... ↓ https://srn.wikipedia.org                                                                            | ✓ | ⏱: 1.23s
[SCRAPE].. ◆ https://srn.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://srn.wikipedia.org                                                                            | ✓ | ⏱: 1.23s
[FETCH]... ↓ https://sv.wikipedia.org                                                                             | ✓ | ⏱: 1.08s 
[SCRAPE].. ◆ https://sv.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://sv.wikipedia.org                                                                             | ✓ | ⏱: 1.08s 
[FETCH]... ↓ https://szl.wikipedia.org                                                                            | ✓ | ⏱: 1.06s
[SCRAPE].. ◆ https://szl.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://szl.wikipedia.org                                                                            | ✓ | ⏱: 1.07s
[FETCH]... ↓ https://st.wikipedia.org                                                                             | ✓ | ⏱: 1.18s 
[SCRAPE].. ◆ https://st.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://st.wikipedia.org                                                                             | ✓ | ⏱: 1.19s
[FETCH]... ↓ https://ss.wikipedia.org                                                                             | ✓ | ⏱: 1.26s 
[SCRAPE].. ◆ https://ss.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
[COMPLETE] ● https://ss.wikipedia.org                                                                             | ✓ | ⏱: 1.26s
[FETCH]... ↓ https://sq.wikipedia.org                                                                             | ✓ | ⏱: 1.59s 
[SCRAPE].. ◆ https://sq.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://sq.wikipedia.org                                                                             | ✓ | ⏱: 1.60s
[FETCH]... ↓ https://sr.wikipedia.org                                                                             | ✓ | ⏱: 1.68s 
[SCRAPE].. ◆ https://sr.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://sr.wikipedia.org                                                                             | ✓ | ⏱: 1.73s 
[FETCH]... ↓ https://syl.wikipedia.org                                                                            | ✓ | ⏱: 1.60s 
[SCRAPE].. ◆ https://syl.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://syl.wikipedia.org                                                                            | ✓ | ⏱: 1.61s
[FETCH]... ↓ https://stq.wikipedia.org                                                                            | ✓ | ⏱: 1.68s
[SCRAPE].. ◆ https://stq.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://stq.wikipedia.org                                                                            | ✓ | ⏱: 1.68s
[FETCH]... ↓ https://szy.wikipedia.org                                                                            | ✓ | ⏱: 1.34s 
[SCRAPE].. ◆ https://szy.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://szy.wikipedia.org                                                                            | ✓ | ⏱: 1.35s
[FETCH]... ↓ https://te.wikipedia.org                                                                             | ✓ | ⏱: 0.98s 
[SCRAPE].. ◆ https://te.wikipedia.org                                                                             | ✓ | ⏱: 0.00s
